name_fa,name_en,gender
آبتین,abtin,male
آبنوس,abnos,female
آبگینه,abgineh,female
آتروپات,atropat,male
آترین,atrin,male
آتش,atsh,male
آتوسا,atosa,female
آدرین,adrin,male
آذر,azr,female
آذرافروز,azrafroz,female
آذرخش,azrkhsh,male
آذرمه,azrmeh,male
آذرنوش,azrnosh,female
آذرگون,azrgon,female
آذین,azin,female
آرا,ara,female
آراد,arad,male
آراز,araz,male
آرام,aram,female
آرتا,arta,male
آرتان,artan,male
آرتمیس,artmis,female
آرتین,artin,male
آرزو,arzoo,female
آرش,arsh,male
آرشام,arsham,male
آرمان,arman,male
آرمانا,armana,female
آرمیتا,armita,female
آرمیتی,armiti,female
آروین,aroin,male
آریا,aria,male
آریابان,ariaban,male
آریادخت,ariadkht,female
آریافر,ariafr,male
آریامن,ariamn,male
آریامنش,ariamnsh,male
آریامهر,ariamhr,male
آریان,arian,male
آریانا,ariana,male
آریانوش,arianosh,female
آرین,arin,male
آرینا,arina,female
آریو,arioo,male
آریوبرزن,ariobrzn,male
آزاد,azad,male
آزاده,azadeh,female
آزرمگان,azrmgan,male
آزرمیدخت,azrmidkht,female
آسا: مانند,asa mannd,female
آسانا,asana,female
آستیاژ,astiazh,female
آفتاب,aftab,female
آفریدون,afridon,male
آفرین,afrin,female
آلا,ala,female
آلاء,ala,female
آلاله,alaleh,female
آلان,alan,male
آناهیتا,anahita,female
آندریا,andria,female
آنوشا,anosha,female
آهو,ahoo,female
آوا,aoa,female
آوه,aoeh,male
آوید,aoid,female
آویده,aoideh,female
آویزه,aoizeh,female
آویسا,aoisa,female
آوین,aoin,female
آوینه,aoineh,female
آویژه,aoizheh,male
آگرین,agrin,female
آیین‌گشسب,aiin gshsb,male
ابریشم,abrishm,female
اختر,akhtr,female
اخگر,akhgr,male
ارخشا,arkhsha,male
اردشیر,ardshir,male
اردوان,ardoan,male
ارس,ars,male
ارشا,arsha,male
ارغوان,arghoan,female
ارمایل,armail,male
اروشا,arosha,female
اروند,arond,male
ارژنگ,arzhng,male
اسفندیار,asfndiar,male
اشک,ashk,male
اشکان,ashkan,male
اشکبوس,ashkbos,male
افراسیاب,afrasiab,male
افروز,afroz,female
افروغ,afrogh,female
افسانه,afsaneh,female
افسر,afsr,female
افسون,afson,female
افشار,afshar,male
افشان,afshan,female
افشین,afshin,male
البرز,albrz,male
الوند,alond,male
امتیس,amtis,female
امیتیس,amitis,female
امید,amid,male
اناهید,anahid,female
اندیشه,andisheh,female
انوش,anosh,male
انوشه,anosheh,female
انوشیروان,anoshiroan,male
اورمزد,aormzd,male
اورنگ,aorng,male
اومَتی,aomati,female
اَرسام,aarsam,male
اَرَشک,aarashk,male
اَسپاکو,aaspakoo,female
اُرُد,aorod,male
اژدر,azhdr,male
ایران,airan,female
ایران بانو,airan banoo,female
ایرانا,airana,female
ایراندخت,airandkht,female
ایرانو,airanoo,female
ایرج,airj,male
ایرمن,airmn,female
ایریانا,airiana,female
ایشتوویگو,aishtooigoo,male
ایلدا,ailda,female
بابک,babk,male
باران,baran,female
باربد,barbd,male
بازیار,baziar,male
بامداد,bamdad,male
بامشاد,bamshad,male
بامین,bamin,male
بانو,banoo,female
بردیا,brdia,male
برزن,brzn,male
برزو,brzoo,male
برزین,brzin,male
برسام,brsam,male
برنا,brna,male
برومند,bromnd,male
بنفشه,bnfsheh,female
بهار,bhar,female
بهاران,bharan,female
بهاره,bhareh,female
بهارک,bhark,female
بهبد,bhbd,male
بهداد,bhdad,male
بهدخت,bhdkht,female
بهدیس,bhdis,female
بهراد,bhrad,male
بهرام,bhram,male
بهرخ,bhrkh,female
بهرنگ,bhrng,male
بهروز,bhroz,male
بهزاد,bhzad,male
بهشاد,bhshad,male
بهشید,bhshid,female
بهمن,bhmn,male
بهمنش,bhmnsh,male
بهناز,bhnaz,female
بهنام,bhnam,male
بهنوش,bhnosh,female
به‌آفرید,bh afrid,male
به‌آیین,bh aiin,male
بوسه,boseh,female
بیتا,bita,female
بیستون,biston,male
بیژن,bizhn,male
تابان,taban,male
تابنده,tabndeh,female
ترانه,traneh,female
ترسا,trsa,female
ترمه,trmeh,female
ترنه,trneh,female
ترنگ,trng,female
تهماسب,thmasb,male
تهمتن,thmtn,male
تهمورث,thmors,male
تهمینه,thmineh,female
توراندخت,torandkht,female
تورج,torj,male
توسکا,toska,female
تیارا,tiara,female
تیام,tiam,male
تیاناز,tianaz,female
تیدا,tida,female
تیرداد,tirdad,male
تینا,tina,female
تینار,tinar,female
تیکا,tika,female
جاماسب,jamasb,male
جاوید,jaoid,male
جمشید,jmshid,male
جهان,jhan,male
جهانبخش,jhanbkhsh,male
جهاندار,jhandar,male
جهانشاه,jhanshaeh,male
جهانگیر,jhangir,male
جوانشیر,joanshir,male
جوانه,joaneh,female
خجسته,khjsteh,female
خدابخش,khdabkhsh,male
خداداد,khdadad,male
خدایار,khdaiar,male
خسرو,khsroo,male
خشایار,khshaiar,male
خوبیار,khobiar,male
خورزاد,khorzad,male
خورشید,khorshid,male
خوروَش,khoroash,female
دادآفرید,dadafrid,female
دادخت,dadkht,female
دادمهر,dadmhr,male
